Time,EMG_zyg,EMG_cor
0.08,0.056152344,0.020446777
0.0805,0.067443848,0.027770996
0.081,0.084228516,0.0390625
0.0815,0.093688965,0.049133301
0.082,0.100402832,0.059204102
0.0825,0.115356445,0.073242188
0.083,0.129699707,0.091247559
0.0835,0.131835938,0.098876953
0.084,0.12512207,0.097961426
0.0845,0.1171875,0.094909668
0.085,0.108947754,0.092773438
0.0855,0.097351074,0.085754395
0.086,0.08392334,0.077209473
0.0865,0.065917969,0.064086914
0.087,0.040283203,0.053710938
0.0875,0.014038086,0.037841797
0.088,0.000610352,0.026245117
0.0885,-0.003662109,0.022888184
0.089,-0.023498535,0.015563965
0.0895,-0.046691895,-0.003967285
0.09,-0.061950684,-0.017089844
0.0905,-0.074157715,-0.02746582
0.091,-0.08972168,-0.042114258
0.0915,-0.100097656,-0.049743652
0.092,-0.108337402,-0.055541992
0.0925,-0.122375488,-0.067138672
0.093,-0.138244629,-0.080566406
0.0935,-0.139770508,-0.086669922
0.094,-0.134277344,-0.086669922
0.0945,-0.127868652,-0.085754395
0.095,-0.11932373,-0.083007813
0.0955,-0.10925293,-0.075683594
0.096,-0.100708008,-0.069885254
0.0965,-0.082092285,-0.060424805
0.097,-0.050354004,-0.04486084
0.0975,-0.024108887,-0.028076172
0.098,-0.007324219,-0.012207031
0.0985,0.001831055,-0.004882813
0.099,0.022888184,0.006408691
0.0995,0.048828125,0.021057129
0.1,0.063171387,0.029602051
0.1005,0.077209473,0.04119873
0.101,0.092468262,0.057373047
0.1015,0.102233887,0.069580078
0.102,0.107727051,0.077819824
0.1025,0.12298584,0.086364746
0.103,0.137939453,0.09552002
0.1035,0.138244629,0.099487305
0.104,0.130004883,0.099182129
0.1045,0.124511719,0.094604492
0.105,0.114746094,0.089111328
0.1055,0.103149414,0.082397461
0.106,0.08605957,0.078125
0.1065,0.066223145,0.070495605
0.107,0.041809082,0.057373047
0.1075,0.016784668,0.041809082
0.108,0.002746582,0.031738281
0.1085,-0.004272461,0.024108887
0.109,-0.022277832,0.012512207
0.1095,-0.045776367,-0.001831055
0.11,-0.060119629,-0.012817383
0.1105,-0.074768066,-0.022888184
0.111,-0.089111328,-0.039672852
0.1115,-0.099487305,-0.052185059
0.112,-0.107421875,-0.067138672
0.1125,-0.121154785,-0.077514648
0.113,-0.135192871,-0.087585449
0.1135,-0.136108398,-0.09185791
0.114,-0.129699707,-0.086364746
0.1145,-0.121459961,-0.084228516
0.115,-0.113220215,-0.078735352
0.1155,-0.09979248,-0.069580078
0.116,-0.091552734,-0.064697266
0.1165,-0.071716309,-0.057067871
0.117,-0.037536621,-0.039672852
0.1175,-0.012207031,-0.02166748
0.118,0.00579834,-0.010681152
0.1185,0.016784668,-0.007324219
0.119,0.037231445,-0.000610352
