Time,EMG_zyg,EMG_cor
0.0005,-0.090942383,-0.08972168
0.001,-0.082092285,-0.083618164
0.0015,-0.07598877,-0.079650879
0.002,-0.060119629,-0.069274902
0.0025,-0.036010742,-0.048217773
0.003,-0.02166748,-0.032043457
0.0035,-0.010681152,-0.018310547
0.004,-0.005187988,-0.00793457
0.0045,0.002746582,0
0.005,0.014953613,0.01159668
0.0055,0.03112793,0.026245117
0.006,0.051269531,0.040588379
0.0065,0.069885254,0.059509277
0.007,0.065612793,0.065002441
0.0075,0.054931641,0.060424805
0.008,0.064697266,0.061645508
0.0085,0.098876953,0.085449219
0.009,0.088195801,0.088806152
0.0095,0.08026123,0.08026123
0.01,0.087890625,0.079650879
0.0105,0.085754395,0.080871582
0.011,0.073242188,0.07598877
0.0115,0.065002441,0.072631836
0.012,0.051574707,0.062561035
0.0125,0.029907227,0.047912598
0.013,0.011291504,0.031433105
0.0135,0.000915527,0.01953125
0.014,-0.003662109,0.009155273
0.0145,-0.01373291,-0.000915527
0.015,-0.026550293,-0.014038086
0.0155,-0.036315918,-0.024719238
0.016,-0.055847168,-0.04119873
0.0165,-0.074768066,-0.059814453
0.017,-0.075683594,-0.07019043
0.0175,-0.062866211,-0.06652832
0.018,-0.069885254,-0.068664551
0.0185,-0.100708008,-0.092468262
0.019,-0.092468262,-0.090637207
0.0195,-0.082702637,-0.085144043
0.02,-0.087890625,-0.084533691
0.0205,-0.084228516,-0.085144043
0.021,-0.075683594,-0.081787109
0.0215,-0.068969727,-0.074157715
0.022,-0.054626465,-0.061035156
0.0225,-0.032348633,-0.040283203
0.023,-0.016479492,-0.026550293
0.0235,-0.004882813,-0.016174316
0.024,0,-0.012207031
0.0245,0.007629395,-0.00579834
0.025,0.023193359,0.003662109
0.0255,0.037536621,0.014343262
0.026,0.057678223,0.029602051
0.0265,0.074768066,0.05065918
0.027,0.074462891,0.061645508
0.0275,0.064697266,0.057067871
0.028,0.071105957,0.061035156
0.0285,0.104370117,0.089416504
0.029,0.092468262,0.093994141
0.0295,0.083312988,0.086669922
0.03,0.086975098,0.087890625
0.0305,0.08605957,0.090026855
0.031,0.073852539,0.081176758
0.0315,0.06652832,0.074462891
0.032,0.053405762,0.062866211
0.0325,0.032348633,0.043640137
0.033,0.012817383,0.028686523
0.0335,0.00579834,0.016784668
0.034,-0.00213623,0.008544922
0.0345,-0.010986328,0.000305176
0.035,-0.025024414,-0.011291504
0.0355,-0.039367676,-0.021972656
0.036,-0.055236816,-0.037536621
0.0365,-0.078125,-0.058898926
0.037,-0.075378418,-0.067443848
0.0375,-0.063476563,-0.063781738
0.038,-0.069885254,-0.06439209
0.0385,-0.10345459,-0.086364746
0.039,-0.093078613,-0.092163086
0.0395,-0.083007813,-0.088500977
0.04,-0.090637207,-0.090332031
0.0405,-0.085449219,-0.089416504
0.041,-0.075378418,-0.083007813
0.0415,-0.069274902,-0.082702637
0.042,-0.055541992,-0.071411133
0.0425,-0.028381348,-0.051879883
0.043,-0.013122559,-0.03692627
0.0435,-0.00213623,-0.023803711
0.044,0.002746582,-0.01373291
0.0445,0.009155273,-0.007629395
0.045,0.024719238,0.008239746
0.0455,0.037841797,0.021057129
0.046,0.059509277,0.037536621
0.0465,0.078125,0.054626465
0.047,0.074768066,0.061645508
0.0475,0.065002441,0.058288574
0.048,0.074157715,0.058898926
0.0485,0.108337402,0.083007813
0.049,0.099487305,0.088195801
0.0495,0.087585449,0.08026123
0.05,0.092773438,0.085144043
0.0505,0.085754395,0.087280273
0.051,0.074768066,0.080566406
0.0515,0.070800781,0.074768066
0.052,0.05645752,0.065002441
0.0525,0.034484863,0.048217773
0.053,0.017700195,0.037231445
0.0535,0.005493164,0.024108887
0.054,-0.000915527,0.016784668
0.0545,-0.007324219,0.008239746
0.055,-0.02166748,-0.005187988
0.0555,-0.034790039,-0.016479492
0.056,-0.053710938,-0.032958984
0.0565,-0.07598877,-0.057067871
0.057,-0.072937012,-0.066833496
0.0575,-0.065917969,-0.064086914
0.058,-0.073547363,-0.063781738
0.0585,-0.106201172,-0.088195801
0.059,-0.099182129,-0.093994141
0.0595,-0.088500977,-0.084838867
0.06,-0.09185791,-0.085449219
0.0605,-0.089111328,-0.086975098
0.061,-0.079650879,-0.078430176
0.0615,-0.07598877,-0.073242188
0.062,-0.062255859,-0.063171387
0.0625,-0.037231445,-0.046691895
0.063,-0.022888184,-0.030517578
0.0635,-0.011901855,-0.014343262
0.064,-0.005493164,-0.007324219
0.0645,0,0.001525879
0.065,0.014953613,0.014953613
0.0655,0.027770996,0.025939941
0.066,0.049438477,0.040283203
0.0665,0.071716309,0.060424805
0.067,0.071411133,0.066223145
0.0675,0.059204102,0.061340332
0.068,0.068054199,0.062255859
0.0685,0.102539063,0.086364746
0.069,0.092773438,0.090026855
0.0695,0.08392334,0.082092285
0.07,0.089111328,0.084228516
0.0705,0.087890625,0.086364746
0.071,0.077819824,0.080566406
0.0715,0.068054199,0.075073242
0.072,0.054321289,0.062866211
0.0725,0.029296875,0.044555664
0.073,0.012207031,0.032043457
0.0735,0.000610352,0.021362305
0.074,-0.008239746,0.01159668
0.0745,-0.015563965,0.003662109
0.075,-0.03112793,-0.008850098
0.0755,-0.043640137,-0.020141602
0.076,-0.063781738,-0.034790039
0.0765,-0.082702637,-0.054931641
0.077,-0.08026123,-0.062255859
0.0775,-0.07232666,-0.05859375
0.078,-0.080566406,-0.061950684
0.0785,-0.110168457,-0.084838867
0.079,-0.100708008,-0.088806152
0.0795,-0.09185791,-0.082702637
0.08,-0.094909668,-0.08392334
0.0805,-0.093688965,-0.08392334
0.081,-0.082092285,-0.077819824
0.0815,-0.077819824,-0.075073242
0.082,-0.061035156,-0.065002441
0.0825,-0.039978027,-0.046081543
0.083,-0.02746582,-0.032958984
0.0835,-0.013427734,-0.021972656
0.084,-0.008544922,-0.014648438
0.0845,-0.002441406,-0.011291504
0.085,0.010986328,0.004272461
0.0855,0.027770996,0.017089844
0.086,0.049133301,0.032958984
0.0865,0.065917969,0.049438477
0.087,0.063781738,0.056762695
0.0875,0.053405762,0.053405762
0.088,0.061340332,0.054931641
0.0885,0.093688965,0.076293945
0.089,0.086975098,0.078735352
0.0895,0.078735352,0.071716309
0.09,0.08392334,0.074157715
0.0905,0.079956055,0.077819824
0.091,0.067138672,0.071716309
0.0915,0.06072998,0.07019043
0.092,0.047302246,0.061950684
0.0925,0.021972656,0.043945313
0.093,0.006408691,0.027770996
0.0935,-0.00579834,0.014648438
0.094,-0.014953613,0.005493164
0.0945,-0.024414063,-0.005187988
0.095,-0.038146973,-0.016479492
0.0955,-0.047302246,-0.025024414
0.096,-0.067749023,-0.040283203
0.0965,-0.08605957,-0.062561035
0.097,-0.082397461,-0.069274902
0.0975,-0.072937012,-0.065917969
0.098,-0.078125,-0.068664551
0.0985,-0.10925293,-0.087890625
0.099,-0.102233887,-0.090942383
0.0995,-0.094909668,-0.084228516
0.1,-0.098876953,-0.08605957
0.1005,-0.095825195,-0.087280273
0.101,-0.08605957,-0.079040527
0.1015,-0.079650879,-0.075378418
0.102,-0.066833496,-0.065917969
0.1025,-0.043334961,-0.048217773
0.103,-0.026855469,-0.03326416
0.1035,-0.014648438,-0.02166748
0.104,-0.010681152,-0.015869141
0.1045,-0.003356934,-0.009460449
0.105,0.014343262,0.003967285
0.1055,0.028076172,0.016784668
0.106,0.047912598,0.034179688
0.1065,0.066223145,0.052490234
0.107,0.06439209,0.060424805
0.1075,0.054626465,0.059204102
0.108,0.06072998,0.061340332
0.1085,0.093383789,0.084533691
0.109,0.084228516,0.085144043
0.1095,0.075073242,0.08026123
0.11,0.083007813,0.08392334
0.1105,0.085144043,0.086975098
0.111,0.071105957,0.081787109
0.1115,0.06439209,0.073242188
0.112,0.049438477,0.060424805
0.1125,0.028686523,0.042724609
0.113,0.012207031,0.02532959
0.1135,0.004272461,0.014953613
0.114,-0.005493164,0.003356934
0.1145,-0.016479492,-0.008544922
0.115,-0.028076172,-0.021972656
0.1155,-0.038757324,-0.032653809
0.116,-0.058898926,-0.04486084
0.1165,-0.079650879,-0.065917969
0.117,-0.079040527,-0.073852539
0.1175,-0.06652832,-0.065307617
0.118,-0.076293945,-0.067443848
0.1185,-0.111083984,-0.09185791
0.119,-0.102233887,-0.093994141
0.1195,-0.088806152,-0.085754395
0.12,-0.09552002,-0.083007813
0.1205,-0.096740723,-0.085449219
0.121,-0.08605957,-0.078430176
0.1215,-0.080566406,-0.079040527
0.122,-0.064086914,-0.070495605
0.1225,-0.0390625,-0.051574707
0.123,-0.022583008,-0.040588379
0.1235,-0.010681152,-0.031433105
0.124,-0.003356934,-0.021057129
0.1245,-0.003662109,-0.017089844
0.125,0.010986328,-0.002746582
0.1255,0.026855469,0.010986328
0.126,0.046386719,0.029296875
0.1265,0.07232666,0.054321289
0.127,0.07232666,0.065307617
0.1275,0.062866211,0.064697266
0.128,0.068664551,0.068664551
0.1285,0.10345459,0.094909668
0.129,0.096130371,0.097045898
0.1295,0.089111328,0.089416504
0.13,0.094299316,0.092163086
0.1305,0.093078613,0.092773438
0.131,0.085449219,0.087585449
0.1315,0.076599121,0.084228516
0.132,0.06072998,0.072631836
0.1325,0.035095215,0.052490234
0.133,0.015563965,0.033569336
0.1335,0.003967285,0.01953125
0.134,-0.005493164,0.007019043
0.1345,-0.01373291,-0.002441406
0.135,-0.025939941,-0.018615723
0.1355,-0.035705566,-0.027160645
0.136,-0.057067871,-0.041809082
0.1365,-0.077209473,-0.065002441
0.137,-0.076599121,-0.071411133
0.1375,-0.066833496,-0.065917969
0.138,-0.074157715,-0.067443848
0.1385,-0.106201172,-0.092468262
0.139,-0.099182129,-0.096130371
0.1395,-0.089111328,-0.090942383
0.14,-0.094604492,-0.093383789
0.1405,-0.093994141,-0.094604492
0.141,-0.081481934,-0.087280273
0.1415,-0.075073242,-0.081176758
0.142,-0.057373047,-0.069274902
0.1425,-0.034179688,-0.049133301
0.143,-0.019226074,-0.032043457
0.1435,-0.009460449,-0.018310547
0.144,-0.00213623,-0.009765625
0.1445,0.003967285,-0.002746582
0.145,0.018005371,0.009460449
0.1455,0.033874512,0.022277832
0.146,0.053405762,0.037231445
0.1465,0.072631836,0.058288574
0.147,0.070495605,0.063781738
0.1475,0.062255859,0.057678223
0.148,0.068054199,0.056762695
0.1485,0.101013184,0.081481934
0.149,0.092163086,0.086975098
0.1495,0.084533691,0.084533691
0.15,0.090026855,0.085144043
0.1505,0.090942383,0.089416504
0.151,0.077209473,0.08392334
0.1515,0.07019043,0.077819824
0.152,0.054931641,0.067138672
0.1525,0.032348633,0.047302246
0.153,0.013427734,0.034179688
0.1535,0.003662109,0.023803711
0.154,-0.001831055,0.01159668
0.1545,-0.012512207,0.000915527
0.155,-0.025634766,-0.011291504
0.1555,-0.035400391,-0.023498535
0.156,-0.055847168,-0.04119873
0.1565,-0.077209473,-0.063781738
0.157,-0.07598877,-0.071411133
0.1575,-0.06439209,-0.068969727
0.158,-0.07232666,-0.073242188
0.1585,-0.10345459,-0.093688965
0.159,-0.096130371,-0.097961426
0.1595,-0.089111328,-0.090942383
0.16,-0.092468262,-0.088195801
0.1605,-0.090026855,-0.086364746
0.161,-0.080566406,-0.079040527
0.1615,-0.072631836,-0.07598877
0.162,-0.05859375,-0.061950684
0.1625,-0.034484863,-0.04119873
0.163,-0.019226074,-0.028381348
0.1635,-0.007019043,-0.017700195
0.164,-0.003356934,-0.008544922
0.1645,0.001525879,-0.002441406
0.165,0.017089844,0.009155273
0.1655,0.031433105,0.02166748
0.166,0.053710938,0.034484863
0.1665,0.07232666,0.055236816
0.167,0.071411133,0.06439209
0.1675,0.061035156,0.060119629
0.168,0.068664551,0.059814453
0.1685,0.101928711,0.085449219
0.169,0.093383789,0.090332031
0.1695,0.082397461,0.08392334
0.17,0.08605957,0.084533691
0.1705,0.084838867,0.086364746
0.171,0.075683594,0.079956055
0.1715,0.068664551,0.07232666
0.172,0.054321289,0.059509277
0.1725,0.032958984,0.04119873
0.173,0.015258789,0.029296875
0.1735,0.004272461,0.02166748
0.174,-0.003967285,0.012512207
0.1745,-0.015563965,0.004577637
0.175,-0.028381348,-0.008544922
0.1755,-0.038757324,-0.018920898
0.176,-0.058288574,-0.032348633
0.1765,-0.077819824,-0.054016113
0.177,-0.076599121,-0.063476563
0.1775,-0.068054199,-0.061035156
0.178,-0.076293945,-0.063171387
0.1785,-0.106811523,-0.086364746
0.179,-0.098266602,-0.090637207
0.1795,-0.09185791,-0.083007813
0.18,-0.094299316,-0.084838867
0.1805,-0.091552734,-0.084838867
0.181,-0.081787109,-0.076904297
0.1815,-0.072631836,-0.072937012
0.182,-0.058898926,-0.063781738
0.1825,-0.036010742,-0.044555664
0.183,-0.01953125,-0.02746582
0.1835,-0.008850098,-0.018005371
0.184,-0.004272461,-0.009460449
0.1845,0.002441406,-0.000915527
0.185,0.014648438,0.011901855
0.1855,0.030212402,0.024719238
0.186,0.05065918,0.041809082
0.1865,0.067138672,0.06072998
0.187,0.067749023,0.068359375
0.1875,0.05645752,0.065307617
0.188,0.063781738,0.065917969
0.1885,0.097351074,0.089416504
0.189,0.090637207,0.091552734
0.1895,0.082092285,0.085449219
0.19,0.084838867,0.087585449
0.1905,0.080871582,0.086364746
0.191,0.072631836,0.076293945
0.1915,0.065307617,0.071105957
0.192,0.051269531,0.059814453
0.1925,0.03112793,0.039978027
0.193,0.012817383,0.023193359
0.1935,0.003051758,0.012207031
0.194,-0.007629395,0.006713867
0.1945,-0.016479492,-0.000305176
0.195,-0.025939941,-0.011291504
0.1955,-0.039978027,-0.020751953
0.196,-0.059814453,-0.034179688
0.1965,-0.079650879,-0.056152344
0.197,-0.078430176,-0.063171387
0.1975,-0.068969727,-0.058288574
0.198,-0.076904297,-0.057983398
0.1985,-0.108947754,-0.083007813
0.199,-0.100097656,-0.087890625
0.1995,-0.092163086,-0.083312988
0.2,-0.097961426,-0.086364746
0.2005,-0.092163086,-0.087585449
0.201,-0.080566406,-0.082397461
0.2015,-0.074462891,-0.078125
0.202,-0.055847168,-0.069580078
0.2025,-0.032043457,-0.049743652
0.203,-0.016784668,-0.035095215
0.2035,-0.002746582,-0.01953125
0.204,0.001525879,-0.009460449
0.2045,0.006713867,-0.000610352
0.205,0.023498535,0.010375977
0.2055,0.036621094,0.025634766
0.206,0.056762695,0.04119873
0.2065,0.075378418,0.060424805
0.207,0.073547363,0.067138672
0.2075,0.062866211,0.061340332
0.208,0.07019043,0.063171387
0.2085,0.102539063,0.088806152
0.209,0.095214844,0.094299316
0.2095,0.087280273,0.087585449
0.21,0.092468262,0.090637207
0.2105,0.091247559,0.091247559
0.211,0.081481934,0.08605957
0.2115,0.071716309,0.079345703
0.212,0.056762695,0.070495605
0.2125,0.036010742,0.053405762
0.213,0.018615723,0.034179688
0.2135,0.007629395,0.018615723
0.214,0,0.007019043
0.2145,-0.01159668,-0.00213623
0.215,-0.023193359,-0.015258789
0.2155,-0.034179688,-0.02532959
0.216,-0.055236816,-0.041809082
0.2165,-0.076293945,-0.066833496
0.217,-0.073852539,-0.074157715
0.2175,-0.061645508,-0.069274902
0.218,-0.07019043,-0.070495605
0.2185,-0.103149414,-0.092163086
0.219,-0.095825195,-0.09185791
0.2195,-0.085144043,-0.085754395
0.22,-0.091552734,-0.087280273
0.2205,-0.090332031,-0.08392334
0.221,-0.078735352,-0.078125
0.2215,-0.073242188,-0.072021484
0.222,-0.059814453,-0.061340332
0.2225,-0.036315918,-0.040893555
0.223,-0.019226074,-0.024108887
0.2235,-0.00793457,-0.014953613
0.224,-0.000915527,-0.00793457
0.2245,0.003967285,-0.004882813
0.225,0.018615723,0.006103516
0.2255,0.033874512,0.020751953
0.226,0.054016113,0.038452148
0.2265,0.075073242,0.059814453
0.227,0.073547363,0.069274902
0.2275,0.061950684,0.064697266
0.228,0.069274902,0.066223145
0.2285,0.100708008,0.090332031
0.229,0.090942383,0.097351074
0.2295,0.083618164,0.091552734
0.23,0.085144043,0.095825195
0.2305,0.082397461,0.095825195
0.231,0.072021484,0.090026855
0.2315,0.064697266,0.085754395
0.232,0.051879883,0.073547363
0.2325,0.029907227,0.053405762
0.233,0.012817383,0.037536621
0.2335,0.004882813,0.022888184
0.234,-0.003662109,0.010375977
0.2345,-0.014343262,0.002441406
0.235,-0.026550293,-0.012207031
0.2355,-0.037841797,-0.023803711
0.236,-0.057983398,-0.038757324
0.2365,-0.077514648,-0.063781738
0.237,-0.076293945,-0.072631836
0.2375,-0.065002441,-0.067138672
0.238,-0.073547363,-0.066833496
0.2385,-0.10559082,-0.092468262
0.239,-0.097961426,-0.093994141
0.2395,-0.090637207,-0.087280273
0.24,-0.094909668,-0.088500977
0.2405,-0.090332031,-0.086975098
0.241,-0.077819824,-0.078430176
0.2415,-0.070495605,-0.072631836
0.242,-0.055847168,-0.061340332
0.2425,-0.03326416,-0.042724609
0.243,-0.019226074,-0.027160645
0.2435,-0.006103516,-0.014038086
0.244,-0.001525879,-0.004577637
0.2445,0.004577637,0.00213623
0.245,0.020751953,0.013122559
0.2455,0.034790039,0.029296875
0.246,0.054626465,0.043945313
0.2465,0.074462891,0.061645508
0.247,0.072937012,0.068054199
0.2475,0.063476563,0.062561035
0.248,0.070800781,0.060424805
0.2485,0.100097656,0.087280273
0.249,0.093383789,0.090637207
0.2495,0.083007813,0.084533691
0.25,0.087890625,0.08605957
0.2505,0.088195801,0.086975098
0.251,0.077209473,0.081787109
0.2515,0.067749023,0.075378418
0.252,0.056762695,0.062866211
0.2525,0.034179688,0.044555664
0.253,0.017089844,0.027770996
0.2535,0.007629395,0.015563965
0.254,-0.000915527,0.006713867
0.2545,-0.008239746,0.000610352
0.255,-0.022277832,-0.012207031
0.2555,-0.033874512,-0.023498535
0.256,-0.054321289,-0.039672852
0.2565,-0.074462891,-0.063781738
0.257,-0.073547363,-0.075683594
0.2575,-0.062255859,-0.074157715
0.258,-0.07232666,-0.074462891
0.2585,-0.104675293,-0.096435547
0.259,-0.101623535,-0.098266602
0.2595,-0.092163086,-0.090942383
0.26,-0.095214844,-0.090026855
0.2605,-0.093078613,-0.088500977
0.261,-0.079650879,-0.077819824
0.2615,-0.073852539,-0.07019043
0.262,-0.057983398,-0.058898926
0.2625,-0.034179688,-0.042724609
0.263,-0.016784668,-0.025939941
0.2635,-0.003662109,-0.016784668
0.264,0.004577637,-0.010681152
0.2645,0.012207031,-0.002746582
0.265,0.022888184,0.007324219
0.2655,0.03692627,0.021972656
0.266,0.058898926,0.04119873
0.2665,0.078125,0.061035156
0.267,0.075683594,0.068664551
