Time,EMG_zyg,EMG_cor
0.0005,-0.145568848,-0.097045898
0.0010,-0.129089355,-0.100708008
0.0015,-0.118713379,-0.101928711
0.0020,-0.118103027,-0.104675293
0.0025,-0.104370117,-0.09765625
0.0030,-0.09185791,-0.087585449
0.0035,-0.078125,-0.081787109
0.0040,-0.05279541,-0.067443848
0.0045,-0.018920898,-0.043640137
0.0050,0.00579834,-0.024414063
0.0055,0.016479492,-0.00793457
0.0060,0.024719238,0.002441406
0.0065,0.041503906,0.014343262
0.0070,0.063171387,0.034790039
0.0075,0.079650879,0.048522949
0.0080,0.102844238,0.069274902
0.0085,0.130004883,0.092773438
0.0090,0.116577148,0.096740723
0.0095,0.102539063,0.095214844
0.0100,0.124816895,0.10345459
0.0105,0.154724121,0.129089355
0.0110,0.133666992,0.129394531
0.0115,0.125427246,0.129394531
0.0120,0.124816895,0.134277344
0.0125,0.111083984,0.133056641
0.0130,0.098876953,0.121459961
0.0135,0.085144043,0.105895996
0.0140,0.061340332,0.077514648
0.0145,0.028991699,0.045166016
0.0150,0.001831055,0.023193359
0.0155,-0.007629395,0.010375977
0.0160,-0.017700195,-0.000610352
0.0165,-0.03692627,-0.016784668
0.0170,-0.054626465,-0.032958984
0.0175,-0.068969727,-0.049438477
0.0180,-0.095214844,-0.069885254
0.0185,-0.120849609,-0.093994141
0.0190,-0.111694336,-0.100402832
0.0195,-0.096435547,-0.093994141
0.0200,-0.1171875,-0.102844238
0.0205,-0.144042969,-0.127563477
0.0210,-0.127563477,-0.125732422
0.0215,-0.120239258,-0.123596191
0.0220,-0.119628906,-0.124206543
0.0225,-0.104980469,-0.115661621
0.0230,-0.08972168,-0.105895996
0.0235,-0.079345703,-0.099182129
0.0240,-0.053100586,-0.081481934
0.0245,-0.019226074,-0.054016113
0.0250,0.007019043,-0.030212402
0.0255,0.017089844,-0.016784668
0.0260,0.027160645,-0.006408691
0.0265,0.045166016,0.009765625
0.0270,0.063476563,0.030212402
0.0275,0.079345703,0.045166016
0.0280,0.10345459,0.069580078
0.0285,0.129394531,0.098876953
0.0290,0.117797852,0.110473633
0.0295,0.103149414,0.105285645
0.0300,0.123291016,0.114440918
0.0305,0.149230957,0.13458252
0.0310,0.132446289,0.124816895
0.0315,0.123291016,0.112609863
0.0320,0.124511719,0.107116699
0.0325,0.112915039,0.09979248
0.0330,0.096435547,0.087280273
0.0335,0.082092285,0.07232666
0.0340,0.055541992,0.057067871
0.0345,0.027160645,0.035095215
0.0350,-0.001525879,0.019226074
0.0355,-0.010681152,0.00579834
0.0360,-0.022277832,-0.000915527
0.0365,-0.040588379,-0.014038086
0.0370,-0.059814453,-0.028076172
0.0375,-0.075073242,-0.037231445
0.0380,-0.102233887,-0.055236816
0.0385,-0.127258301,-0.080566406
0.0390,-0.11505127,-0.083312988
0.0395,-0.097961426,-0.077209473
0.0400,-0.116882324,-0.085144043
0.0405,-0.145263672,-0.111999512
0.0410,-0.128173828,-0.108947754
0.0415,-0.12298584,-0.101623535
0.0420,-0.123901367,-0.103149414
0.0425,-0.110473633,-0.09979248
0.0430,-0.09552002,-0.089111328
0.0435,-0.086669922,-0.078735352
0.0440,-0.05859375,-0.060119629
0.0445,-0.025939941,-0.034484863
0.0450,0.000915527,-0.015563965
0.0455,0.009460449,-0.003662109
0.0460,0.022888184,0.004577637
0.0465,0.037231445,0.014953613
0.0470,0.055847168,0.028381348
0.0475,0.07598877,0.039978027
0.0480,0.102233887,0.05859375
0.0485,0.126647949,0.084228516
0.0490,0.114746094,0.087890625
0.0495,0.100402832,0.079956055
0.0500,0.120849609,0.090332031
0.0505,0.147399902,0.118408203
0.0510,0.128479004,0.124206543
0.0515,0.119628906,0.123291016
0.0520,0.120849609,0.119934082
0.0525,0.11138916,0.118408203
0.0530,0.09552002,0.111694336
0.0535,0.079956055,0.102844238
0.0540,0.055847168,0.086364746
0.0545,0.024719238,0.061645508
0.0550,-0.003051758,0.038757324
0.0555,-0.014343262,0.02532959
0.0560,-0.021362305,0.017089844
0.0565,-0.042114258,-0.001831055
0.0570,-0.06072998,-0.02532959
0.0575,-0.072937012,-0.039367676
0.0580,-0.101013184,-0.057373047
0.0585,-0.126037598,-0.082092285
0.0590,-0.116882324,-0.087280273
0.0595,-0.101623535,-0.082397461
0.0600,-0.119628906,-0.093078613
0.0605,-0.151062012,-0.120849609
0.0610,-0.133972168,-0.113525391
0.0615,-0.125427246,-0.109558105
0.0620,-0.126037598,-0.10925293
0.0625,-0.11138916,-0.104370117
0.0630,-0.094909668,-0.090026855
0.0635,-0.08392334,-0.078125
0.0640,-0.054931641,-0.062866211
0.0645,-0.01953125,-0.036010742
0.0650,0.007324219,-0.015258789
0.0655,0.015258789,0.000915527
0.0660,0.024719238,0.007019043
0.0665,0.042419434,0.016479492
0.0670,0.062561035,0.030212402
0.0675,0.079040527,0.045471191
0.0680,0.104675293,0.061645508
0.0685,0.131835938,0.087585449
0.0690,0.117797852,0.088500977
0.0695,0.104980469,0.084838867
0.0700,0.124511719,0.090332031
0.0705,0.151672363,0.112304688
0.0710,0.134277344,0.108642578
0.0715,0.126037598,0.097351074
0.0720,0.126037598,0.096130371
0.0725,0.115356445,0.091247559
0.0730,0.100402832,0.085144043
0.0735,0.086975098,0.079956055
0.0740,0.060119629,0.068359375
0.0745,0.030212402,0.051879883
0.0750,0,0.033874512
0.0755,-0.006713867,0.021362305
0.0760,-0.016174316,0.008544922
0.0765,-0.037536621,-0.010375977
0.0770,-0.053100586,-0.026245117
0.0775,-0.066223145,-0.036010742
0.0780,-0.094909668,-0.054016113
0.0785,-0.124206543,-0.079040527
0.0790,-0.114746094,-0.085754395
0.0795,-0.100708008,-0.079956055
0.0800,-0.120239258,-0.084838867
0.0805,-0.146484375,-0.106506348
0.0810,-0.127868652,-0.103759766
0.0815,-0.121765137,-0.097045898
0.0820,-0.121765137,-0.099487305
0.0825,-0.107421875,-0.097351074
0.0830,-0.092468262,-0.088500977
0.0835,-0.081176758,-0.084838867
0.0840,-0.055236816,-0.069885254
0.0845,-0.024108887,-0.044250488
0.0850,0.003051758,-0.022888184
0.0855,0.016174316,-0.008239746
0.0860,0.023498535,0.001220703
0.0865,0.037231445,0.014953613
0.0870,0.059509277,0.032348633
0.0875,0.07598877,0.046386719
0.0880,0.100402832,0.065002441
0.0885,0.125732422,0.081176758
0.0890,0.112915039,0.085754395
0.0895,0.099487305,0.079650879
0.0900,0.118103027,0.092468262
0.0905,0.146179199,0.118408203
0.0910,0.128479004,0.120544434
0.0915,0.119934082,0.114135742
0.0920,0.122680664,0.117492676
0.0925,0.110778809,0.114135742
0.0930,0.094604492,0.104370117
0.0935,0.078735352,0.093383789
0.0940,0.054931641,0.07232666
0.0945,0.023193359,0.041503906
