Time,EMG_zyg,EMG_cor
0.0915,-0.007629395,-0.006713867
0.092,-0.011291504,-0.004272461
0.0925,-0.014038086,-0.004272461
0.093,-0.014648438,-0.001831055
0.0935,-0.017700195,-0.001831055
0.094,-0.023803711,-0.001220703
0.0945,-0.02166748,0.000610352
0.095,-0.017089844,0
0.0955,-0.024414063,-0.003051758
0.096,-0.029907227,-0.004272461
0.0965,-0.026855469,-0.004882813
0.097,-0.024719238,-0.003356934
0.0975,-0.024414063,-0.004272461
0.098,-0.020751953,-0.006103516
0.0985,-0.021972656,-0.009155273
0.099,-0.025024414,-0.012817383
0.0995,-0.019226074,-0.008850098
0.1,-0.009765625,-0.006103516
0.1005,-0.003051758,0.001525879
0.101,0.001220703,0.009765625
0.1015,0.003967285,0.014953613
0.102,0.003967285,0.014038086
0.1025,0.00579834,0.012207031
0.103,0.010070801,0.009765625
0.1035,0.018005371,0.010986328
0.104,0.027160645,0.016479492
0.1045,0.027770996,0.015258789
0.105,0.025024414,0.015563965
0.1055,0.025634766,0.013122559
0.106,0.026855469,0.014038086
0.1065,0.025634766,0.01373291
0.107,0.021972656,0.01159668
0.1075,0.024719238,0.014648438
0.108,0.02532959,0.012512207
0.1085,0.024719238,0.007629395
0.109,0.021362305,0.008850098
0.1095,0.012817383,0.014648438
0.11,0.007324219,0.014343262
0.1105,0.006103516,0.009155273
0.111,0.000610352,0.002441406
0.1115,-0.006103516,0.001220703
0.112,-0.013122559,-0.000915527
0.1125,-0.014953613,-0.004577637
0.113,-0.013122559,-0.008544922
0.1135,-0.021362305,-0.012512207
0.114,-0.026855469,-0.017089844
0.1145,-0.022277832,-0.015869141
0.115,-0.017700195,-0.016784668
0.1155,-0.026245117,-0.016784668
0.116,-0.032348633,-0.02166748
0.1165,-0.024719238,-0.025634766
0.117,-0.019836426,-0.032958984
0.1175,-0.021972656,-0.035095215
0.118,-0.018310547,-0.032348633
0.1185,-0.016479492,-0.029602051
0.119,-0.016479492,-0.02746582
0.1195,-0.009460449,-0.022277832
0.12,-0.003356934,-0.020751953
0.1205,-0.003356934,-0.019226074
0.121,0.001831055,-0.018615723
0.1215,0.007019043,-0.017700195
0.122,0.00793457,-0.012817383
0.1225,0.009155273,-0.005493164
0.123,0.010986328,-0.00213623
0.1235,0.016784668,0.001525879
0.124,0.02532959,0.00793457
0.1245,0.022888184,0.009155273
0.125,0.022583008,0.012207031
0.1255,0.03112793,0.020446777
0.126,0.038452148,0.024108887
0.1265,0.03326416,0.023803711
0.127,0.026550293,0.021362305
0.1275,0.022888184,0.014343262
0.128,0.015869141,0.007629395
0.1285,0.016784668,0.007324219
0.129,0.018615723,0.00793457
0.1295,0.016784668,0.003662109
0.13,0.012512207,-0.002746582
0.1305,0.00793457,-0.005493164
0.131,0.001525879,-0.008544922
0.1315,-0.006408691,-0.014648438
0.132,-0.010070801,-0.020751953
0.1325,-0.014953613,-0.018005371
0.133,-0.018310547,-0.014343262
0.1335,-0.024108887,-0.015869141
0.134,-0.028381348,-0.018615723
0.1345,-0.02746582,-0.018005371
0.135,-0.024414063,-0.01373291
0.1355,-0.029296875,-0.008544922
0.136,-0.032958984,-0.004882813
0.1365,-0.028381348,-0.002746582
0.137,-0.022888184,0.002441406
0.1375,-0.025939941,0.000305176
0.138,-0.024108887,0.000610352
0.1385,-0.024414063,0.000305176
0.139,-0.022583008,0
0.1395,-0.017700195,-0.000610352
0.14,-0.010681152,0.000915527
0.1405,-0.00213623,0.003967285
0.141,0.002746582,0.008850098
0.1415,0.001525879,0.010681152
0.142,0.002441406,0.006408691
0.1425,0.00793457,0.003967285
0.143,0.009460449,0.004272461
0.1435,0.016174316,0.003967285
0.144,0.021972656,0.006408691
0.1445,0.022583008,0.008544922
0.145,0.021972656,0.009765625
0.1455,0.029602051,0.01159668
0.146,0.038146973,0.007629395
0.1465,0.033569336,0.010375977
0.147,0.025939941,0.01373291
0.1475,0.027160645,0.006713867
0.148,0.026550293,-0.003967285
0.1485,0.01953125,-0.000915527
0.149,0.015563965,0.000305176
0.1495,0.01159668,0.001220703
0.15,0.00579834,-0.001220703
0.1505,-0.001831055,-0.003967285
0.151,-0.00793457,0.000305176
0.1515,-0.01159668,0.00213623
0.152,-0.014648438,0.005493164
0.1525,-0.015258789,0.007629395
0.153,-0.014953613,0.008850098
0.1535,-0.020751953,0.006103516
0.154,-0.02746582,0.001831055
0.1545,-0.025939941,-0.00213623
0.155,-0.024414063,-0.006408691
0.1555,-0.030822754,-0.008239746
0.156,-0.036315918,-0.010681152
0.1565,-0.033569336,-0.017089844
0.157,-0.028686523,-0.018310547
0.1575,-0.03112793,-0.018615723
0.158,-0.028381348,-0.017089844
0.1585,-0.026245117,-0.016479492
0.159,-0.025024414,-0.017089844
0.1595,-0.015869141,-0.014648438
0.16,-0.005493164,-0.012512207
0.1605,-0.000305176,-0.01159668
0.161,0.001220703,-0.011291504
0.1615,0.001220703,-0.011291504
0.162,0.004577637,-0.010986328
0.1625,0.009155273,-0.011291504
0.163,0.010681152,-0.008850098
0.1635,0.016784668,-0.011901855
0.164,0.02166748,-0.009460449
0.1645,0.018310547,-0.008544922
0.165,0.018005371,-0.009460449
0.1655,0.026550293,-0.008850098
0.166,0.031433105,-0.004577637
0.1665,0.028686523,0.001525879
0.167,0.025024414,0.003051758
0.1675,0.026550293,0.008239746
0.168,0.024719238,0.012207031
