Time,EMG_zyg,EMG_cor
0.0005,-0.086669922,-0.086669922
0.001,-0.089111328,-0.086669922
0.0015,-0.084533691,-0.086975098
0.002,-0.071105957,-0.076904297
0.0025,-0.065612793,-0.072937012
0.003,-0.053100586,-0.067138672
0.0035,-0.028991699,-0.044555664
0.004,-0.009460449,-0.027160645
0.0045,0.004577637,-0.014343262
0.005,0.012512207,-0.006408691
0.0055,0.019836426,-0.00213623
0.006,0.034179688,0.010681152
0.0065,0.046386719,0.022888184
0.007,0.062255859,0.037536621
0.0075,0.080871582,0.058288574
0.008,0.084228516,0.069885254
0.0085,0.07019043,0.064086914
0.009,0.07232666,0.064086914
0.0095,0.103759766,0.085144043
0.01,0.098266602,0.091247559
0.0105,0.084533691,0.08392334
0.011,0.08605957,0.083618164
0.0115,0.088195801,0.086364746
0.012,0.073852539,0.077209473
0.0125,0.066833496,0.073852539
0.013,0.053100586,0.066223145
0.0135,0.028991699,0.049133301
0.014,0.007019043,0.03112793
0.0145,-0.004882813,0.020446777
0.015,-0.009765625,0.012512207
0.0155,-0.017089844,0.004577637
0.016,-0.033874512,-0.010375977
0.0165,-0.045166016,-0.020751953
0.017,-0.061035156,-0.036010742
0.0175,-0.080566406,-0.057678223
0.018,-0.081176758,-0.071105957
0.0185,-0.067749023,-0.06652832
0.019,-0.070800781,-0.066833496
0.0195,-0.102539063,-0.087585449
0.02,-0.09979248,-0.094299316
0.0205,-0.086975098,-0.088195801
0.021,-0.087890625,-0.089111328
0.0215,-0.089111328,-0.087890625
0.022,-0.074462891,-0.079040527
0.0225,-0.068664551,-0.073242188
0.023,-0.054016113,-0.067749023
0.0235,-0.025939941,-0.050964355
0.024,-0.006713867,-0.033569336
0.0245,0.006408691,-0.018005371
0.025,0.012512207,-0.009765625
0.0255,0.019226074,-0.000915527
0.026,0.032043457,0.011291504
0.0265,0.043334961,0.022888184
0.027,0.061645508,0.037841797
0.0275,0.082397461,0.057678223
0.028,0.088500977,0.065917969
0.0285,0.070800781,0.061645508
0.029,0.075073242,0.062561035
0.0295,0.109558105,0.083007813
0.03,0.101928711,0.091552734
0.0305,0.090637207,0.08605957
0.031,0.092773438,0.086975098
0.0315,0.091247559,0.089416504
0.032,0.079956055,0.081787109
0.0325,0.07019043,0.07598877
0.033,0.056152344,0.06439209
0.0335,0.032653809,0.045471191
0.034,0.01373291,0.028686523
0.0345,0.000610352,0.018310547
0.035,-0.008544922,0.007629395
0.0355,-0.01739502,0
0.036,-0.034484863,-0.013427734
0.0365,-0.04486084,-0.027160645
0.037,-0.061950684,-0.03692627
0.0375,-0.082397461,-0.056152344
0.038,-0.086975098,-0.071411133
0.0385,-0.071105957,-0.068969727
0.039,-0.073547363,-0.066833496
0.0395,-0.102233887,-0.087890625
0.04,-0.095825195,-0.094299316
0.0405,-0.084533691,-0.088806152
0.041,-0.086975098,-0.091247559
0.0415,-0.084838867,-0.09185791
0.042,-0.070800781,-0.081787109
0.0425,-0.062866211,-0.078125
0.043,-0.051269531,-0.067443848
0.0435,-0.02532959,-0.048828125
